candidate_id,heuristic_group,source_file,sha256,width,height,aspect_ratio,brightness,contrast,sharpness,illumination_range,manual_keep,manual_quality,manual_merchant_type,manual_notes
LC12,low_contrast,data/raw/data0.7/mcocr_public_145013mfogg.jpg,7ade97b9e0841bf12907b2b70a9bfef2035b90285bdbb86ffafb3b2157064351,568,1023,1.801056,179.508693,21.584326,305.323886,48.184996,,,,
LC13,low_contrast,data/raw/data0.7/mcocr_public_145014diuoj.jpg,3ec429d6faa6b2398d5994d478be20644cce77b7923da97d35ed570109317d65,668,662,0.991018,175.091345,22.372364,308.849760,45.136418,,,,
LC14,low_contrast,data/raw/data0.7/mcocr_public_145014jqlcm.jpg,a9806657581c8958b486062bb7ea6c79dbd59492775c6f9b24f0a83d7a5666a6,445,851,1.912360,167.190272,22.458061,407.101826,38.479518,,,,
LC15,low_contrast,data/raw/data0.7/mcocr_public_145014dkivp.jpg,40c2270786eddb13f2082699859615a9b3b74a6d8ab182e7e1d921c2bc423938,524,602,1.148855,174.256071,22.468576,514.595583,41.525700,,,,
LC16,low_contrast,data/raw/data0.7/mcocr_public_145013cllbf.jpg,a5bfba6497d799e39d265d1501cf4ab07fdb9a70e67fe2f69dd11044e6b0de5e,435,1137,2.613793,176.683876,22.485693,712.450574,24.201602,,,,
LS01,low_sharpness,data/raw/data0.7/mcocr_public_145013lkorp.jpg,9f5bff576d83cf31c1c5ac6ad229f1b5b01e66133c770c8a5b7f0822e76f4d6f,797,1044,1.309912,100.516916,45.679704,33.290065,103.879948,,,,
LS02,low_sharpness,data/raw/data0.7/mcocr_public_145013aqeha.jpg,831f12754ede14ebbf400a025e79055f531d8c77e5175cf494e7a2677d52559f,1074,1405,1.308194,117.602781,54.865602,74.203080,107.278269,,,,
LS03,low_sharpness,data/raw/data0.7/mcocr_public_145014btqny.jpg,aa7d7b1c395f13d04919cc672e1ac4da879bbf045599b42328dbbc86f195d991,739,1261,1.706360,113.423709,39.593259,80.994496,84.066229,,,,
LS04,low_sharpness,data/raw/data0.7/mcocr_public_145013borvc.jpg,53b6fe109c59f8d736da2282acd261c16d42095b5f8e898b6acada2bfe5ecd17,681,1079,1.584435,84.241084,64.503924,108.547898,137.230610,,,,
LS05,low_sharpness,data/raw/data0.7/mcocr_public_145013qbpjw.jpg,14afa0cc010b03cd2177eb6eb614b51cf9b3babc525715e4a3a8463af7bdefc0,612,1032,1.686275,83.860762,57.434544,110.580285,127.871796,,,,
LS06,low_sharpness,data/raw/data0.7/mcocr_public_145014wnpbo.jpg,7c91080a3267816f940b9b3e1fa20ef750b1b171fea9000ab10b2103aa6f4dff,623,1050,1.685393,101.546042,42.630406,115.750832,78.893066,,,,
LS07,low_sharpness,data/raw/data0.7/mcocr_public_145014zppme.jpg,859d9d8011c1fe971b11d868057516e8a5a5fc871fdc05a15bfb077f86131a20,964,949,0.984440,98.835162,70.359677,116.750434,123.942262,,,,
LS08,low_sharpness,data/raw/data0.7/mcocr_public_145014eyfwj.jpg,9b7fc683daf4eee32822a7a9e5f89387f236c8007b381830e479dcb653120845,755,1319,1.747020,145.111959,38.488895,122.855495,34.633419,,,,
LS09,low_sharpness,data/raw/data0.7/mcocr_public_145013qvyzw.jpg,27db040f3356df37af20e803887cb5b30367bcdfc8addd37bc63d04635de606b,1089,1517,1.393021,96.798609,38.927026,125.377410,42.865405,,,,
LS10,low_sharpness,data/raw/data0.7/mcocr_public_145013kaedt.jpg,12be9684443a2743dd31a8e3870565db058b7e68f6b3c416573331863d39a795,797,1046,1.312422,122.835330,36.667803,130.170682,68.032749,,,,
LS11,low_sharpness,data/raw/data0.7/mcocr_public_145014foulc.jpg,4d258323a0a8b1bb2bf6e263aa5ddc462b6cdcab1f2504d548215f24f24b733c,856,1088,1.271028,123.602194,56.367995,132.540908,91.916409,,,,
LS12,low_sharpness,data/raw/data0.7/mcocr_public_145014lbzhz.jpg,560eb52f5959c2e9c30600f543b4d3686494b9da3f1a607552c995eda0124c7c,954,997,1.045073,220.282340,47.084386,139.406563,35.396052,,,,
LS13,low_sharpness,data/raw/data0.7/mcocr_public_145014pomqp.jpg,eab716da4c36777610cc15b5b61d71a281e173826654925c15e4beb5530b2ce4,483,935,1.935818,152.620158,29.504134,142.301533,67.137126,,,,
LS14,low_sharpness,data/raw/data0.7/mcocr_public_145014kljgu.jpg,0ad3262b7801e8841c8f0c0515d714e36385a0c686a5408af254f8e3907e680e,714,1095,1.533613,106.148849,67.294790,149.817019,147.716228,,,,
LS15,low_sharpness,data/raw/data0.7/mcocr_public_145013ramij.jpg,f3665f2fcbd2e41229b4e4ec6bcdbb3b0e15e91726e2ceb011f73302abbb9d14,785,1036,1.319745,128.240223,38.419987,158.525017,66.519434,,,,
LS16,low_sharpness,data/raw/data0.7/mcocr_public_145014ubmpt.jpg,d5f8b14ba5628259725926bf8abd380b5bd3a78ac5d8d1c87c11d2869d042585,626,1052,1.680511,120.977904,53.893255,167.133195,109.844478,,,,
UL01,uneven_lighting,data/raw/data0.7/mcocr_public_145014sabav.jpg,0694033c94bc4a9a04a294843914ef0a34a2424b1aa28ab6d56baaefff96c555,625,998,1.596800,115.767949,94.668226,321.757985,212.794925,,,,
UL02,uneven_lighting,data/raw/data0.7/mcocr_public_145014onmxs.jpg,61fd6c8a55d54b019482ca16105e4006c9ae7dc51f1a6f5bd72dc8b5bb43df1d,1056,1597,1.512311,146.646919,100.996895,422.508466,201.583823,,,,
UL03,uneven_lighting,data/raw/data0.7/mcocr_public_145013tvyce.jpg,802370d15a2448d052d4a10aba86d1a620764c22a2022c63a770689a57904216,670,665,0.992537,91.521944,84.455198,402.673786,195.526295,,,,
UL04,uneven_lighting,data/raw/data0.7/mcocr_public_145013ezyfw.jpg,7331568f56e11403baa5a4a51202673e79a6f8ffe98427e0662e3c165fddd96e,736,1433,1.947011,145.638211,93.360486,514.682441,192.164253,,,,
UL05,uneven_lighting,data/raw/data0.7/mcocr_public_145013sqona.jpg,c4696814110f1a5a3ec7acf55fcecd1bec4555c26580fe74b0a4c18c9f3cfc1f,1210,1412,1.166942,140.977820,101.196090,331.128565,190.010662,,,,
UL06,uneven_lighting,data/raw/data0.7/mcocr_public_145014qajwu.jpg,633fe04f5d2e573b5ee6debb7c573e72998550dbac8de8b4d7f3631d1b9dcd0d,1021,1325,1.297747,104.184910,84.592298,375.880095,189.468889,,,,
UL07,uneven_lighting,data/raw/data0.7/mcocr_public_145014zibrj.jpg,fa359ed26fb922899153257792da379dbd4d9dc0846be192ad716d96dbfe5a04,1119,1812,1.619303,154.777820,96.653702,487.284360,186.196994,,,,
UL08,uneven_lighting,data/raw/data0.7/mcocr_public_145014pjtlz.jpg,e48cea5506985b16f251882833286e7891c0ae6af89cd910ea8660e0f4f82c75,623,1124,1.804173,153.439067,97.175332,803.171132,181.480138,,,,
UL09,uneven_lighting,data/raw/data0.7/mcocr_public_145013qikxs.jpg,48eb898e9bb23b3bf075838ac64e7a4e3573d18b58c35dcd3987577253aa1320,933,981,1.051447,113.583690,85.860710,238.299032,176.981828,,,,
UL10,uneven_lighting,data/raw/data0.7/mcocr_public_145013tmibr.jpg,89c4aa2498addab037cb91b90e4ba255433dd8833e50b95813ef530ea6e8c70b,1048,1345,1.283397,119.867435,76.317339,558.056518,176.909435,,,,
UL11,uneven_lighting,data/raw/data0.7/mcocr_public_145014chqzo.jpg,762a3c1c439e458e217e9010524dc67b97bfbef459eb152e1d380509f9edffa6,1321,1449,1.096896,99.508908,87.051812,447.937614,176.405659,,,,
UL12,uneven_lighting,data/raw/data0.7/mcocr_public_145014mgasx.jpg,8a09f6ddd26e32b23e856d4989d713565e798a9eddde82d90f48dfed7cda8be4,1114,1380,1.238779,111.645838,88.557939,942.668961,171.800098,,,,
UL13,uneven_lighting,data/raw/data0.7/mcocr_public_145014ziulw.jpg,acb7de8b31916caa9d6f5503a7f4d57614b174aa51ccc4af3ddd2f4867ac9e38,885,1116,1.261017,137.596485,88.611190,356.852119,169.309713,,,,
UL14,uneven_lighting,data/raw/data0.7/mcocr_public_145014awxdd.jpg,526f95503c3de9e3ceb7a09787213dc208fd7c0041ecc926309b3b1e6ce50f6b,1056,1392,1.318182,117.958072,76.137026,457.108800,169.176169,,,,
UL15,uneven_lighting,data/raw/data0.7/mcocr_public_145014kpsgk.jpg,a5cbbb10022372e7154e41ac675a6dc2826cb04eb1986c050748eda638bc81be,671,1177,1.754098,75.523905,77.636213,332.630986,167.918021,,,,
UL16,uneven_lighting,data/raw/data0.7/mcocr_public_145014xbkfz.jpg,9700bb680fdce26ff99f276c1f4cc028d172f7f51743b85e237130bcbf2066dd,787,1328,1.687421,136.649366,85.328738,550.715133,167.738814,,,,
LR01,long_receipt,data/raw/data0.7/mcocr_public_145014htnck.jpg,8792400d7f929e9e800b47ec779226c8bb4c978fce89eaee90ab98d89900b2ea,287,1200,4.181185,156.109023,25.302158,532.521934,53.688631,,,,
LR02,long_receipt,data/raw/data0.7/mcocr_public_145013rtjsr.jpg,c89998ed8ded049a48b41b8507691c235d2ae5ee51b551e33608e481bbbc810e,703,2860,4.068279,221.499201,28.186583,1945.497606,45.792242,,,,
LR03,long_receipt,data/raw/data0.7/mcocr_public_145014onrob.jpg,14a0983eb93d612891737c256afac9e5b84cdbe57f7c26fadaeaa52a1d2ff21d,233,841,3.609442,158.154466,23.345716,734.984636,52.680049,,,,
LR04,long_receipt,data/raw/data0.7/mcocr_public_145014nxeuq.jpg,9df756216f4c87f3bb5ad3c7ab2aceb7dda572e40dda70f568667370c2a26ad3,257,921,3.583658,151.862860,47.911646,401.120337,77.426398,,,,
LR05,long_receipt,data/raw/data0.7/mcocr_public_145014mtdoy.jpg,3af42aec000481dc06e61c48403ff063d01466e18b9bdf8a78d8778de78be5c7,258,917,3.554264,157.140167,23.127942,475.115592,48.118166,,,,
LR06,long_receipt,data/raw/data0.7/mcocr_public_145014udhjy.jpg,0320a2ffc6eb41bd27b8df673087cf608ba19d4c066d0361b01926e48bbf4652,258,899,3.484496,175.851062,29.217217,910.463971,35.216667,,,,
LR07,long_receipt,data/raw/data0.7/mcocr_public_145013geohx.jpg,dc3708dc0037cf97b5ebb9feea748c1c2ef8fba2e96ce323740df97bf0dc3e15,284,978,3.443662,174.440605,28.261136,1225.689662,27.291556,,,,
LR08,long_receipt,data/raw/data0.7/mcocr_public_145013fskld.jpg,0c6b20910c7f4d154a3a27087aa0054dfc3f0f3274740b62237c99e6a2d8d974,391,1335,3.414322,143.988363,32.841224,889.138025,49.418788,,,,
LR09,long_receipt,data/raw/data0.7/mcocr_public_145013ndqdl.jpg,a6b2a485077845fae5f28908515ade2fd69a12c8f288f5444e993bb01066ac75,260,864,3.323077,159.480159,28.502754,927.360905,57.962678,,,,
LR10,long_receipt,data/raw/data0.7/mcocr_public_145013vilkn.jpg,ea6d31d4d9adbb93feed5782638bbde826ed9be2516accb327a95e1d4c5ca234,381,1259,3.304462,151.497259,24.004340,578.633869,48.499412,,,,
LR11,long_receipt,data/raw/data0.7/mcocr_public_145014iksot.jpg,a4657d5b3aae72320e3f66fc28bb39f861ff04e3621e862bcf19048dfeeb3562,325,1020,3.138462,129.123581,47.983111,940.355428,93.672654,,,,
LR12,long_receipt,data/raw/data0.7/mcocr_public_145013yzczt.jpg,48cc98e34790e3cd2302d2da69cfddc96076c31725e37fca28e49ef599ed67c9,333,1014,3.045045,145.138048,25.709280,633.297985,52.895015,,,,
LR13,long_receipt,data/raw/data0.7/mcocr_public_145014nrlra.jpg,08623e3c5c00e79fd1232327bf7b30167bb191947e437adf0ef387d61d16c5f4,294,891,3.030612,125.805939,48.570265,994.155304,83.818898,,,,
LR14,long_receipt,data/raw/data0.7/mcocr_public_145014vyosv.jpg,1e39d042e3bcbdd812e497a04f9fd9e38424f20cf9cf83262a4af72e2f60262d,437,1242,2.842105,147.594504,27.228615,759.115069,52.981378,,,,
LR15,long_receipt,data/raw/data0.7/mcocr_public_145014mnwrz.jpg,1e492864da50e3ef0546504a0481e694a2a239674d10a201a9dfc3622e6b6985,354,977,2.759887,185.905719,36.872650,2069.697421,28.544607,,,,
LR16,long_receipt,data/raw/data0.7/mcocr_public_145013gguch.jpg,02d52412d466962530118db064866a9b75ed3307beb58e9d9845731d971695a7,334,908,2.718563,181.947929,64.294881,1003.048748,70.584150,,,,
G01,general,data/raw/data0.7/mcocr_public_145014lbrqe.jpg,843b701344253fc538bfafd53a7f52125a47ce6b5f19ebb6c31adca24270b453,465,564,1.212903,167.158980,30.686762,1283.907901,17.422597,,,,
G02,general,data/raw/data0.7/mcocr_public_145014ewdtv.jpg,21297a01ae372d49fc85b52b8b4c19144035e7f9e7ef6390cb5c71a51bc2f4ba,325,635,1.953846,139.721822,64.615762,869.629405,104.571014,,,,
G03,general,data/raw/data0.7/mcocr_public_145013cxcei.jpg,15e9ae87f7c94e9c1bc0921f25edf7b841eaa1703d19d1325fc9c188021ea210,513,453,0.883041,166.445228,35.329172,408.080124,24.145807,,,,
G04,general,data/raw/data0.7/mcocr_public_145013snoxg.jpg,9f2c711673181ad48e4a0871fa87058a9b3db8d0944d6b91df64c59ef95c1afd,526,493,0.937262,205.716919,33.192867,1108.016777,32.899722,,,,
G05,general,data/raw/data0.7/mcocr_public_145014dhiru.jpg,98437fc703b56259b5433832e2bd91929c897257e5f9a421d8dc1ac1a0aabb0d,581,726,1.249570,174.504282,30.130055,838.565455,25.150629,,,,
G06,general,data/raw/data0.7/mcocr_public_145013ibbrd.jpg,7c15e65a7a71b6fe95696b174bbd960c6bdd1b894d1c2b612536ac069004eba4,768,1024,1.333333,145.111291,30.470362,467.901745,46.702827,,,,
G07,general,data/raw/data0.7/mcocr_public_145014uqaia.jpg,f33d5fc6448b2cc21d8bf96fc5cbd5e8f004b6c61d06ac0453e5b966b7aa84dd,637,605,0.949765,136.127527,41.375227,263.107723,58.861552,,,,
G08,general,data/raw/data0.7/mcocr_public_145013fiibr.jpg,0158b2c64fa6b1ce8bbbe7d93ad96e241475ac6ba83ad2cae88a26e2a90b49ef,874,1304,1.491991,155.283997,42.114192,238.670664,45.273477,,,,
G09,general,data/raw/data0.7/mcocr_public_145014rvwat.jpg,bd7e98e06f54d57862561415f852ee54054aa53d7175e567fde8c58dc0010606,661,947,1.432678,154.701375,27.288135,526.715100,36.320651,,,,
G10,general,data/raw/data0.7/mcocr_public_145014jgrti.jpg,f071dfa8b20104abb87ab4b79c2d813a144fbd66e76d7a71bdca690e49398c8c,490,598,1.220408,148.262474,37.828781,542.121429,17.834439,,,,
G11,general,data/raw/data0.7/mcocr_public_145013amzul.jpg,66f19a32e17534e8cce8e2b210311c5b69b70c61ef7ad1fc28a2397e0052a23c,768,1024,1.333333,143.287065,34.657139,549.882809,84.515666,,,,
G12,general,data/raw/data0.7/mcocr_public_145013kzjew.jpg,25590a2cd15580fee447435c95f82441f439877fc0359b9556a8f38d98a8384a,779,1372,1.761232,134.098495,47.063966,638.722564,63.222847,,,,
G13,general,data/raw/data0.7/mcocr_public_145014zzzej.jpg,cfe6f34e21879657dd17c48d8a085b05244e39b517369d83ab20f02b60caaf6d,713,781,1.095372,116.951142,62.170533,449.807755,101.501901,,,,
G14,general,data/raw/data0.7/mcocr_public_145014glqgm.jpg,901d2176dcffd66f14941d9918185a7da05b1b6a1195b17b579f9c0926473382,481,769,1.598753,158.668579,33.354329,291.300597,57.891531,,,,
G15,general,data/raw/data0.7/mcocr_public_145013bgfxq.jpg,505d0fcd2f6c793efb3d241ef3e960ae1d33419f3d7b3e8ffeb6c51a608921ff,549,495,0.901639,169.152939,54.322951,343.594275,58.267250,,,,
G16,general,data/raw/data0.7/mcocr_public_145014izcur.jpg,a68b572b8703c778a110965891884755f2762675561ae51166e58ab676596077,606,1197,1.975248,137.890327,54.062107,318.126768,76.780351,,,,
